node_id,is_rare
13924_12592_14672_13460_12591_12536_30861_8146_8148_32846_13459_44329_14544_9805_49223_9804_14086_8147_13515_14029_12581_19019,True
11160_13119_13978_12060_12327_12670_13210_11067_12903_12293_12376_12375_11767_10965_12460_10967_11602_12002_11762_13386_14363_10933_12452_13365_13250_13826_12445_12326_11360_11392_13985_14739_11351_13489_12421_9076_13738_11279_14675_11286_13249_12485_10986_12420_14428_12170_12091_12442_11364_13984_12418_14237_13010_12355_912_14469_12273_13269_12602_11774_10807_12977_12003_12370_11192_10987_11991_12333_10860_13929_13471_11912_13537_13963_11799_13215_11553_14182_19588_14849,False
8099_12497_12498,False
14854_14293_14470_12380_11832_14603_14853_11761_11032_14594_12975_10973_12090_14740_12902_10915_11058_14283_11519_12083_7424_11673_11389_13632_11103_11226_11102_12974_12086_11159_11074_11031_10963_13823_11660_11893_13305_11708_11994_12030_11625_11350_13114_12023_11568_11920_12976_14738_14291_10817_11480_13593_11657_19587,False
33202_32776_30905_33670_33200_32740_32732_33201_54860_32761_32639_29142_32762_33198_32749_33199,False
11396_7422,True
14828_14829_9454_13553_133,False
8019,False
11043,False
9260_9261_9262_18149,True
8878,True
8905,False
14083_13288_12987_13287_13289_20729_14840_13290_11096_16462_15977,True
7162,False
9699,True
14986_14987_10351_10953_13565_9213_12565_13248_12187_13499_14108_44325_54748_11325_9214_14985_9215_11584_12186_13566_14638,False
7157_14028_16675_7364_32750_20820_30847_32751_13698,False
14897,False
12035,True
10023,True
32884,False
32911_33258_32917_33668_33665_30058_33260_32802_33259_29137_30998,False
14076_13519_9136_14600_13520_27353,False
14624,False
54593_54716_12106_13923_11437_14623_11488_14484_9617_14473_12989_54806_14173_12029_54804_32583_14908_32694_13849_14660_7988_14730_54805_54761_30929_30928_16660,False
14798_7217_7218_14032_7219_20701_7222_7216_7221_7223_11757_7220_12658_13244_19679_19677_7215_19676_21004_19678_22599,False
10090,False
30027_14756_13888_8590_11201_12671,False
7099,True
24541_13818,True
13285_9413_13286_13283_13284_11864_14697_14260_13862_54691,False
8196,False
9614_9613_17214_17685,True
11870,True
12015_9762_8654_8106_13903_5712,False
7774,False
11063,True
7315,True
11107,False
12345,True
32659,False
7447,True
32914_12748_14030_14215_14193_13854_14123_12978_12088_32664_13174_9484_32757_32874_32637_14192_13979_12906_14465_13434_14909_32872_13525_14202_14750_14910_54843_13940_14211_14216_32924_12918_14378_14203_12979_12085_12571_14657_13435_11718_33204_16575_12087_12844,True
8470_30074,False
11015_12527_14799_14673_12489_12260_12665_11104_14565_14075_13484_7279_7287_14111_13744_10544_32735_12395_13411_10948_7278_12688_14110_12336_7288_7282_7280_7283_7286_11547_12437_7290_11413_12701_7281_7285_13859_7284_11162_5129_45050_11587_11591_11808_13067_12175,False
13843,True
12203,True
11732,True
8237,False
10214_10215_10216_10210_10211_12531_10212_10213_19600,True
7207,True
14848,True
7312,False
14803,False
9577,True
9712,False
14555_54852_24548_14923_11937_19347,True
12238_24528_12415_20845_14898_14656_12241_13117_9783_90,False
11670,False
11177_13976_13975_13313_32804_13973_13974_44305_10955_23040_23041_23042,False
33622_14365_14366_30844_32859_14961_32744_20851_32739_7161_54723_20852_54726_11720_54730_32863_7060_33673_14970_32845_54725_30938_14847_54724_54615_30846_14172_54732_54729_32686_30868_33671_9776_13505_29147_54728_54731_54727_10052_20855_32896_29148_14037_32748_13504_32898_54733_13070_13901_30926_30989,False
7794_9239_9223_13912_13961_7844_13946_14105_13910_14102_12880_14461_9482_30010_14107_13914_10635_14106_13911_12528_13926_13913_12988_14103_13915,True
